"Country","Date","Daily_Deaths"
"France",2020-01-22,0
"France",2020-01-23,0
"France",2020-01-24,0
"France",2020-01-25,0
"France",2020-01-26,0
"France",2020-01-27,0
"France",2020-01-28,0
"France",2020-01-29,0
"France",2020-01-30,0
"France",2020-01-31,0
"France",2020-02-01,0
"France",2020-02-02,0
"France",2020-02-03,0
"France",2020-02-04,0
"France",2020-02-05,0
"France",2020-02-06,0
"France",2020-02-07,0
"France",2020-02-08,0
"France",2020-02-09,0
"France",2020-02-10,0
"France",2020-02-11,0
"France",2020-02-12,0
"France",2020-02-13,0
"France",2020-02-14,0
"France",2020-02-15,1
"France",2020-02-16,0
"France",2020-02-17,0
"France",2020-02-18,0
"France",2020-02-19,0
"France",2020-02-20,0
"France",2020-02-21,0
"France",2020-02-22,0
"France",2020-02-23,0
"France",2020-02-24,0
"France",2020-02-25,0
"France",2020-02-26,1
"France",2020-02-27,0
"France",2020-02-28,0
"France",2020-02-29,0
"France",2020-03-01,0
"France",2020-03-02,1
"France",2020-03-03,1
"France",2020-03-04,0
"France",2020-03-05,2
"France",2020-03-06,3
"France",2020-03-07,2
"France",2020-03-08,8
"France",2020-03-09,0
"France",2020-03-10,14
"France",2020-03-11,15
"France",2020-03-12,0
"France",2020-03-13,31
"France",2020-03-14,12
"France",2020-03-15,0
"France",2020-03-16,58
"France",2020-03-17,0
"France",2020-03-18,0
"France",2020-03-19,95
"France",2020-03-20,207
"France",2020-03-21,112
"France",2020-03-22,113
"France",2020-03-23,186
"France",2020-03-24,240
"France",2020-03-25,231
"France",2020-03-26,365
"France",2020-03-27,299
"France",2020-03-28,320
"France",2020-03-29,294
"France",2020-03-30,419
"France",2020-03-31,502
"France",2020-04-01,882
"France",2020-04-02,984
"France",2020-04-03,1122
"France",2020-04-04,1054
"France",2020-04-05,519
"France",2020-04-06,833
"France",2020-04-07,1417
"France",2020-04-08,544
"France",2020-04-09,1341
"France",2020-04-10,987
"France",2020-04-11,636
"France",2020-04-12,561
"France",2020-04-13,574
"France",2020-04-14,745
"France",2020-04-15,1438
"France",2020-04-16,753
"France",2020-04-17,761
"France",2020-04-18,642
"France",2020-04-19,395
"France",2020-04-20,547
"France",2020-04-21,531
"France",2020-04-22,544
"France",2020-04-23,516
"France",2020-04-24,390
"France",2020-04-25,369
"France",2020-04-26,242
"France",2020-04-27,437
"France",2020-04-28,367
"France",2020-04-29,427
"France",2020-04-30,289
"France",2020-05-01,218
"France",2020-05-02,166
"France",2020-05-03,137
"France",2020-05-04,304
"France",2020-05-05,333
"France",2020-05-06,275
"France",2020-05-07,178
"France",2020-05-08,243
"France",2020-05-09,80
"France",2020-05-10,70
"France",2020-05-11,263
"France",2020-05-12,348
"France",2020-05-13,83
"France",2020-05-14,351
"France",2020-05-15,104
"France",2020-05-16,0
"France",2020-05-17,579
"France",2020-05-18,131
"France",2020-05-19,0
"France",2020-05-20,110
"France",2020-05-21,83
"France",2020-05-22,74
"France",2020-05-23,43
"France",2020-05-24,35
"France",2020-05-25,90
"France",2020-05-26,73
"France",2020-05-27,66
"France",2020-05-28,66
"France",2020-05-29,52
"Germany",2020-01-22,0
"Germany",2020-01-23,0
"Germany",2020-01-24,0
"Germany",2020-01-25,0
"Germany",2020-01-26,0
"Germany",2020-01-27,0
"Germany",2020-01-28,0
"Germany",2020-01-29,0
"Germany",2020-01-30,0
"Germany",2020-01-31,0
"Germany",2020-02-01,0
"Germany",2020-02-02,0
"Germany",2020-02-03,0
"Germany",2020-02-04,0
"Germany",2020-02-05,0
"Germany",2020-02-06,0
"Germany",2020-02-07,0
"Germany",2020-02-08,0
"Germany",2020-02-09,0
"Germany",2020-02-10,0
"Germany",2020-02-11,0
"Germany",2020-02-12,0
"Germany",2020-02-13,0
"Germany",2020-02-14,0
"Germany",2020-02-15,0
"Germany",2020-02-16,0
"Germany",2020-02-17,0
"Germany",2020-02-18,0
"Germany",2020-02-19,0
"Germany",2020-02-20,0
"Germany",2020-02-21,0
"Germany",2020-02-22,0
"Germany",2020-02-23,0
"Germany",2020-02-24,0
"Germany",2020-02-25,0
"Germany",2020-02-26,0
"Germany",2020-02-27,0
"Germany",2020-02-28,0
"Germany",2020-02-29,0
"Germany",2020-03-01,0
"Germany",2020-03-02,0
"Germany",2020-03-03,0
"Germany",2020-03-04,0
"Germany",2020-03-05,0
"Germany",2020-03-06,0
"Germany",2020-03-07,0
"Germany",2020-03-08,0
"Germany",2020-03-09,2
"Germany",2020-03-10,0
"Germany",2020-03-11,1
"Germany",2020-03-12,0
"Germany",2020-03-13,4
"Germany",2020-03-14,2
"Germany",2020-03-15,2
"Germany",2020-03-16,6
"Germany",2020-03-17,7
"Germany",2020-03-18,4
"Germany",2020-03-19,16
"Germany",2020-03-20,23
"Germany",2020-03-21,17
"Germany",2020-03-22,10
"Germany",2020-03-23,29
"Germany",2020-03-24,34
"Germany",2020-03-25,49
"Germany",2020-03-26,61
"Germany",2020-03-27,75
"Germany",2020-03-28,91
"Germany",2020-03-29,100
"Germany",2020-03-30,112
"Germany",2020-03-31,130
"Germany",2020-04-01,145
"Germany",2020-04-02,187
"Germany",2020-04-03,168
"Germany",2020-04-04,169
"Germany",2020-04-05,140
"Germany",2020-04-06,226
"Germany",2020-04-07,206
"Germany",2020-04-08,333
"Germany",2020-04-09,258
"Germany",2020-04-10,160
"Germany",2020-04-11,0
"Germany",2020-04-12,286
"Germany",2020-04-13,172
"Germany",2020-04-14,100
"Germany",2020-04-15,510
"Germany",2020-04-16,248
"Germany",2020-04-17,300
"Germany",2020-04-18,107
"Germany",2020-04-19,127
"Germany",2020-04-20,276
"Germany",2020-04-21,171
"Germany",2020-04-22,246
"Germany",2020-04-23,296
"Germany",2020-04-24,185
"Germany",2020-04-25,117
"Germany",2020-04-26,99
"Germany",2020-04-27,150
"Germany",2020-04-28,188
"Germany",2020-04-29,153
"Germany",2020-04-30,156
"Germany",2020-05-01,113
"Germany",2020-05-02,76
"Germany",2020-05-03,54
"Germany",2020-05-04,127
"Germany",2020-05-05,0
"Germany",2020-05-06,282
"Germany",2020-05-07,117
"Germany",2020-05-08,118
"Germany",2020-05-09,39
"Germany",2020-05-10,20
"Germany",2020-05-11,92
"Germany",2020-05-12,77
"Germany",2020-05-13,123
"Germany",2020-05-14,23
"Germany",2020-05-15,13
"Germany",2020-05-16,41
"Germany",2020-05-17,24
"Germany",2020-05-18,41
"Germany",2020-05-19,78
"Germany",2020-05-20,63
"Germany",2020-05-21,59
"Germany",2020-05-22,25
"Germany",2020-05-23,33
"Germany",2020-05-24,22
"Germany",2020-05-25,26
"Germany",2020-05-26,63
"Germany",2020-05-27,56
"Germany",2020-05-28,42
"Germany",2020-05-29,34
"Italy",2020-01-22,0
"Italy",2020-01-23,0
"Italy",2020-01-24,0
"Italy",2020-01-25,0
"Italy",2020-01-26,0
"Italy",2020-01-27,0
"Italy",2020-01-28,0
"Italy",2020-01-29,0
"Italy",2020-01-30,0
"Italy",2020-01-31,0
"Italy",2020-02-01,0
"Italy",2020-02-02,0
"Italy",2020-02-03,0
"Italy",2020-02-04,0
"Italy",2020-02-05,0
"Italy",2020-02-06,0
"Italy",2020-02-07,0
"Italy",2020-02-08,0
"Italy",2020-02-09,0
"Italy",2020-02-10,0
"Italy",2020-02-11,0
"Italy",2020-02-12,0
"Italy",2020-02-13,0
"Italy",2020-02-14,0
"Italy",2020-02-15,0
"Italy",2020-02-16,0
"Italy",2020-02-17,0
"Italy",2020-02-18,0
"Italy",2020-02-19,0
"Italy",2020-02-20,0
"Italy",2020-02-21,1
"Italy",2020-02-22,1
"Italy",2020-02-23,1
"Italy",2020-02-24,4
"Italy",2020-02-25,3
"Italy",2020-02-26,2
"Italy",2020-02-27,5
"Italy",2020-02-28,4
"Italy",2020-02-29,8
"Italy",2020-03-01,5
"Italy",2020-03-02,18
"Italy",2020-03-03,27
"Italy",2020-03-04,28
"Italy",2020-03-05,41
"Italy",2020-03-06,49
"Italy",2020-03-07,36
"Italy",2020-03-08,133
"Italy",2020-03-09,97
"Italy",2020-03-10,168
"Italy",2020-03-11,196
"Italy",2020-03-12,189
"Italy",2020-03-13,250
"Italy",2020-03-14,175
"Italy",2020-03-15,368
"Italy",2020-03-16,349
"Italy",2020-03-17,345
"Italy",2020-03-18,475
"Italy",2020-03-19,427
"Italy",2020-03-20,627
"Italy",2020-03-21,793
"Italy",2020-03-22,651
"Italy",2020-03-23,601
"Italy",2020-03-24,743
"Italy",2020-03-25,683
"Italy",2020-03-26,712
"Italy",2020-03-27,919
"Italy",2020-03-28,889
"Italy",2020-03-29,756
"Italy",2020-03-30,812
"Italy",2020-03-31,837
"Italy",2020-04-01,727
"Italy",2020-04-02,760
"Italy",2020-04-03,766
"Italy",2020-04-04,681
"Italy",2020-04-05,525
"Italy",2020-04-06,636
"Italy",2020-04-07,604
"Italy",2020-04-08,542
"Italy",2020-04-09,610
"Italy",2020-04-10,570
"Italy",2020-04-11,619
"Italy",2020-04-12,431
"Italy",2020-04-13,566
"Italy",2020-04-14,602
"Italy",2020-04-15,578
"Italy",2020-04-16,525
"Italy",2020-04-17,575
"Italy",2020-04-18,482
"Italy",2020-04-19,433
"Italy",2020-04-20,454
"Italy",2020-04-21,534
"Italy",2020-04-22,437
"Italy",2020-04-23,464
"Italy",2020-04-24,420
"Italy",2020-04-25,415
"Italy",2020-04-26,260
"Italy",2020-04-27,333
"Italy",2020-04-28,382
"Italy",2020-04-29,323
"Italy",2020-04-30,285
"Italy",2020-05-01,269
"Italy",2020-05-02,474
"Italy",2020-05-03,174
"Italy",2020-05-04,195
"Italy",2020-05-05,236
"Italy",2020-05-06,369
"Italy",2020-05-07,274
"Italy",2020-05-08,243
"Italy",2020-05-09,194
"Italy",2020-05-10,165
"Italy",2020-05-11,179
"Italy",2020-05-12,172
"Italy",2020-05-13,195
"Italy",2020-05-14,262
"Italy",2020-05-15,242
"Italy",2020-05-16,153
"Italy",2020-05-17,145
"Italy",2020-05-18,99
"Italy",2020-05-19,162
"Italy",2020-05-20,161
"Italy",2020-05-21,156
"Italy",2020-05-22,130
"Italy",2020-05-23,119
"Italy",2020-05-24,50
"Italy",2020-05-25,92
"Italy",2020-05-26,78
"Italy",2020-05-27,117
"Italy",2020-05-28,70
"Italy",2020-05-29,87
