"Country","Date","Total_Deaths"
"France",2020-01-22,0
"France",2020-01-23,0
"France",2020-01-24,0
"France",2020-01-25,0
"France",2020-01-26,0
"France",2020-01-27,0
"France",2020-01-28,0
"France",2020-01-29,0
"France",2020-01-30,0
"France",2020-01-31,0
"France",2020-02-01,0
"France",2020-02-02,0
"France",2020-02-03,0
"France",2020-02-04,0
"France",2020-02-05,0
"France",2020-02-06,0
"France",2020-02-07,0
"France",2020-02-08,0
"France",2020-02-09,0
"France",2020-02-10,0
"France",2020-02-11,0
"France",2020-02-12,0
"France",2020-02-13,0
"France",2020-02-14,0
"France",2020-02-15,1
"France",2020-02-16,1
"France",2020-02-17,1
"France",2020-02-18,1
"France",2020-02-19,1
"France",2020-02-20,1
"France",2020-02-21,1
"France",2020-02-22,1
"France",2020-02-23,1
"France",2020-02-24,1
"France",2020-02-25,1
"France",2020-02-26,2
"France",2020-02-27,2
"France",2020-02-28,2
"France",2020-02-29,2
"France",2020-03-01,2
"France",2020-03-02,3
"France",2020-03-03,4
"France",2020-03-04,4
"France",2020-03-05,6
"France",2020-03-06,9
"France",2020-03-07,11
"France",2020-03-08,19
"France",2020-03-09,19
"France",2020-03-10,33
"France",2020-03-11,48
"France",2020-03-12,48
"France",2020-03-13,79
"France",2020-03-14,91
"France",2020-03-15,91
"France",2020-03-16,149
"France",2020-03-17,149
"France",2020-03-18,149
"France",2020-03-19,244
"France",2020-03-20,451
"France",2020-03-21,563
"France",2020-03-22,676
"France",2020-03-23,862
"France",2020-03-24,1102
"France",2020-03-25,1333
"France",2020-03-26,1698
"France",2020-03-27,1997
"France",2020-03-28,2317
"France",2020-03-29,2611
"France",2020-03-30,3030
"France",2020-03-31,3532
"France",2020-04-01,4414
"France",2020-04-02,5398
"France",2020-04-03,6520
"France",2020-04-04,7574
"France",2020-04-05,8093
"France",2020-04-06,8926
"France",2020-04-07,10343
"France",2020-04-08,10887
"France",2020-04-09,12228
"France",2020-04-10,13215
"France",2020-04-11,13851
"France",2020-04-12,14412
"France",2020-04-13,14986
"France",2020-04-14,15731
"France",2020-04-15,17169
"France",2020-04-16,17922
"France",2020-04-17,18683
"France",2020-04-18,19325
"France",2020-04-19,19720
"France",2020-04-20,20267
"France",2020-04-21,20798
"France",2020-04-22,21342
"France",2020-04-23,21858
"France",2020-04-24,22248
"France",2020-04-25,22617
"France",2020-04-26,22859
"France",2020-04-27,23296
"France",2020-04-28,23663
"France",2020-04-29,24090
"France",2020-04-30,24379
"France",2020-05-01,24597
"France",2020-05-02,24763
"France",2020-05-03,24900
"France",2020-05-04,25204
"France",2020-05-05,25537
"France",2020-05-06,25812
"France",2020-05-07,25990
"France",2020-05-08,26233
"France",2020-05-09,26313
"France",2020-05-10,26383
"France",2020-05-11,26646
"France",2020-05-12,26994
"France",2020-05-13,27077
"France",2020-05-14,27428
"France",2020-05-15,27532
"France",2020-05-16,27532
"France",2020-05-17,28111
"France",2020-05-18,28242
"France",2020-05-19,28025
"France",2020-05-20,28135
"France",2020-05-21,28218
"France",2020-05-22,28292
"France",2020-05-23,28335
"France",2020-05-24,28370
"France",2020-05-25,28460
"France",2020-05-26,28533
"France",2020-05-27,28599
"France",2020-05-28,28665
"France",2020-05-29,28717
"Germany",2020-01-22,0
"Germany",2020-01-23,0
"Germany",2020-01-24,0
"Germany",2020-01-25,0
"Germany",2020-01-26,0
"Germany",2020-01-27,0
"Germany",2020-01-28,0
"Germany",2020-01-29,0
"Germany",2020-01-30,0
"Germany",2020-01-31,0
"Germany",2020-02-01,0
"Germany",2020-02-02,0
"Germany",2020-02-03,0
"Germany",2020-02-04,0
"Germany",2020-02-05,0
"Germany",2020-02-06,0
"Germany",2020-02-07,0
"Germany",2020-02-08,0
"Germany",2020-02-09,0
"Germany",2020-02-10,0
"Germany",2020-02-11,0
"Germany",2020-02-12,0
"Germany",2020-02-13,0
"Germany",2020-02-14,0
"Germany",2020-02-15,0
"Germany",2020-02-16,0
"Germany",2020-02-17,0
"Germany",2020-02-18,0
"Germany",2020-02-19,0
"Germany",2020-02-20,0
"Germany",2020-02-21,0
"Germany",2020-02-22,0
"Germany",2020-02-23,0
"Germany",2020-02-24,0
"Germany",2020-02-25,0
"Germany",2020-02-26,0
"Germany",2020-02-27,0
"Germany",2020-02-28,0
"Germany",2020-02-29,0
"Germany",2020-03-01,0
"Germany",2020-03-02,0
"Germany",2020-03-03,0
"Germany",2020-03-04,0
"Germany",2020-03-05,0
"Germany",2020-03-06,0
"Germany",2020-03-07,0
"Germany",2020-03-08,0
"Germany",2020-03-09,2
"Germany",2020-03-10,2
"Germany",2020-03-11,3
"Germany",2020-03-12,3
"Germany",2020-03-13,7
"Germany",2020-03-14,9
"Germany",2020-03-15,11
"Germany",2020-03-16,17
"Germany",2020-03-17,24
"Germany",2020-03-18,28
"Germany",2020-03-19,44
"Germany",2020-03-20,67
"Germany",2020-03-21,84
"Germany",2020-03-22,94
"Germany",2020-03-23,123
"Germany",2020-03-24,157
"Germany",2020-03-25,206
"Germany",2020-03-26,267
"Germany",2020-03-27,342
"Germany",2020-03-28,433
"Germany",2020-03-29,533
"Germany",2020-03-30,645
"Germany",2020-03-31,775
"Germany",2020-04-01,920
"Germany",2020-04-02,1107
"Germany",2020-04-03,1275
"Germany",2020-04-04,1444
"Germany",2020-04-05,1584
"Germany",2020-04-06,1810
"Germany",2020-04-07,2016
"Germany",2020-04-08,2349
"Germany",2020-04-09,2607
"Germany",2020-04-10,2767
"Germany",2020-04-11,2736
"Germany",2020-04-12,3022
"Germany",2020-04-13,3194
"Germany",2020-04-14,3294
"Germany",2020-04-15,3804
"Germany",2020-04-16,4052
"Germany",2020-04-17,4352
"Germany",2020-04-18,4459
"Germany",2020-04-19,4586
"Germany",2020-04-20,4862
"Germany",2020-04-21,5033
"Germany",2020-04-22,5279
"Germany",2020-04-23,5575
"Germany",2020-04-24,5760
"Germany",2020-04-25,5877
"Germany",2020-04-26,5976
"Germany",2020-04-27,6126
"Germany",2020-04-28,6314
"Germany",2020-04-29,6467
"Germany",2020-04-30,6623
"Germany",2020-05-01,6736
"Germany",2020-05-02,6812
"Germany",2020-05-03,6866
"Germany",2020-05-04,6993
"Germany",2020-05-05,6993
"Germany",2020-05-06,7275
"Germany",2020-05-07,7392
"Germany",2020-05-08,7510
"Germany",2020-05-09,7549
"Germany",2020-05-10,7569
"Germany",2020-05-11,7661
"Germany",2020-05-12,7738
"Germany",2020-05-13,7861
"Germany",2020-05-14,7884
"Germany",2020-05-15,7897
"Germany",2020-05-16,7938
"Germany",2020-05-17,7962
"Germany",2020-05-18,8003
"Germany",2020-05-19,8081
"Germany",2020-05-20,8144
"Germany",2020-05-21,8203
"Germany",2020-05-22,8228
"Germany",2020-05-23,8261
"Germany",2020-05-24,8283
"Germany",2020-05-25,8309
"Germany",2020-05-26,8372
"Germany",2020-05-27,8428
"Germany",2020-05-28,8470
"Germany",2020-05-29,8504
"Italy",2020-01-22,0
"Italy",2020-01-23,0
"Italy",2020-01-24,0
"Italy",2020-01-25,0
"Italy",2020-01-26,0
"Italy",2020-01-27,0
"Italy",2020-01-28,0
"Italy",2020-01-29,0
"Italy",2020-01-30,0
"Italy",2020-01-31,0
"Italy",2020-02-01,0
"Italy",2020-02-02,0
"Italy",2020-02-03,0
"Italy",2020-02-04,0
"Italy",2020-02-05,0
"Italy",2020-02-06,0
"Italy",2020-02-07,0
"Italy",2020-02-08,0
"Italy",2020-02-09,0
"Italy",2020-02-10,0
"Italy",2020-02-11,0
"Italy",2020-02-12,0
"Italy",2020-02-13,0
"Italy",2020-02-14,0
"Italy",2020-02-15,0
"Italy",2020-02-16,0
"Italy",2020-02-17,0
"Italy",2020-02-18,0
"Italy",2020-02-19,0
"Italy",2020-02-20,0
"Italy",2020-02-21,1
"Italy",2020-02-22,2
"Italy",2020-02-23,3
"Italy",2020-02-24,7
"Italy",2020-02-25,10
"Italy",2020-02-26,12
"Italy",2020-02-27,17
"Italy",2020-02-28,21
"Italy",2020-02-29,29
"Italy",2020-03-01,34
"Italy",2020-03-02,52
"Italy",2020-03-03,79
"Italy",2020-03-04,107
"Italy",2020-03-05,148
"Italy",2020-03-06,197
"Italy",2020-03-07,233
"Italy",2020-03-08,366
"Italy",2020-03-09,463
"Italy",2020-03-10,631
"Italy",2020-03-11,827
"Italy",2020-03-12,1016
"Italy",2020-03-13,1266
"Italy",2020-03-14,1441
"Italy",2020-03-15,1809
"Italy",2020-03-16,2158
"Italy",2020-03-17,2503
"Italy",2020-03-18,2978
"Italy",2020-03-19,3405
"Italy",2020-03-20,4032
"Italy",2020-03-21,4825
"Italy",2020-03-22,5476
"Italy",2020-03-23,6077
"Italy",2020-03-24,6820
"Italy",2020-03-25,7503
"Italy",2020-03-26,8215
"Italy",2020-03-27,9134
"Italy",2020-03-28,10023
"Italy",2020-03-29,10779
"Italy",2020-03-30,11591
"Italy",2020-03-31,12428
"Italy",2020-04-01,13155
"Italy",2020-04-02,13915
"Italy",2020-04-03,14681
"Italy",2020-04-04,15362
"Italy",2020-04-05,15887
"Italy",2020-04-06,16523
"Italy",2020-04-07,17127
"Italy",2020-04-08,17669
"Italy",2020-04-09,18279
"Italy",2020-04-10,18849
"Italy",2020-04-11,19468
"Italy",2020-04-12,19899
"Italy",2020-04-13,20465
"Italy",2020-04-14,21067
"Italy",2020-04-15,21645
"Italy",2020-04-16,22170
"Italy",2020-04-17,22745
"Italy",2020-04-18,23227
"Italy",2020-04-19,23660
"Italy",2020-04-20,24114
"Italy",2020-04-21,24648
"Italy",2020-04-22,25085
"Italy",2020-04-23,25549
"Italy",2020-04-24,25969
"Italy",2020-04-25,26384
"Italy",2020-04-26,26644
"Italy",2020-04-27,26977
"Italy",2020-04-28,27359
"Italy",2020-04-29,27682
"Italy",2020-04-30,27967
"Italy",2020-05-01,28236
"Italy",2020-05-02,28710
"Italy",2020-05-03,28884
"Italy",2020-05-04,29079
"Italy",2020-05-05,29315
"Italy",2020-05-06,29684
"Italy",2020-05-07,29958
"Italy",2020-05-08,30201
"Italy",2020-05-09,30395
"Italy",2020-05-10,30560
"Italy",2020-05-11,30739
"Italy",2020-05-12,30911
"Italy",2020-05-13,31106
"Italy",2020-05-14,31368
"Italy",2020-05-15,31610
"Italy",2020-05-16,31763
"Italy",2020-05-17,31908
"Italy",2020-05-18,32007
"Italy",2020-05-19,32169
"Italy",2020-05-20,32330
"Italy",2020-05-21,32486
"Italy",2020-05-22,32616
"Italy",2020-05-23,32735
"Italy",2020-05-24,32785
"Italy",2020-05-25,32877
"Italy",2020-05-26,32955
"Italy",2020-05-27,33072
"Italy",2020-05-28,33142
"Italy",2020-05-29,33229
